021-12-29 14:05:58.769  INFO main sc_cli::runner: Substrate Node    
2021-12-29 14:05:58.770  INFO main sc_cli::runner: ✌️  version 4.0.0-dev-8d1a5ae-x86_64-linux-gnu    
2021-12-29 14:05:58.770  INFO main sc_cli::runner: ❤️  by Substrate DevHub <https://github.com/substrate-developer-hub>, 2017-2021    
2021-12-29 14:05:58.770  INFO main sc_cli::runner: 📋 Chain specification: Local Testnet    
2021-12-29 14:05:58.770  INFO main sc_cli::runner: 🏷 Node name: Bob    
2021-12-29 14:05:58.770  INFO main sc_cli::runner: 👤 Role: AUTHORITY    
2021-12-29 14:05:58.770  INFO main sc_cli::runner: 💾 Database: RocksDb at /tmp/bob/chains/local_testnet/db/full    
2021-12-29 14:05:58.770  INFO main sc_cli::runner: ⛓  Native runtime: node-template-100 (node-template-1.tx1.au1)    
2021-12-29 14:05:58.849  INFO main sc_service::client::client: 🔨 Initializing Genesis block/state (state: 0x20b8…7584, header-hash: 0x9b46…da08)    
2021-12-29 14:05:58.849  INFO main afg: 👴 Loading GRANDPA authority set from genesis on what appears to be first startup.    
2021-12-29 14:05:58.972  INFO main sc_consensus_slots: ⏱  Loaded block-time = 6s from block 0x9b4668f2275bff312b86b38b74a995b32f323a6b83934843b284f4a5b8e1da08    
2021-12-29 14:05:58.972  WARN main sc_service::config: Using default protocol ID "sup" because none is configured in the chain specs    
2021-12-29 14:05:58.972  INFO main sub-libp2p: 🏷 Local node identity is: 12D3KooWGsio1RCCMdBNUuRqBvTMFQj16TTAuP45kkDqvm6su5tD    
2021-12-29 14:05:58.977  INFO main sc_service::builder: 📦 Highest known block at #0    
2021-12-29 14:05:58.978  INFO main parity_ws: Listening for new connections on 127.0.0.1:9946.    
2021-12-29 14:05:58.980 ERROR tokio-runtime-worker sub-libp2p: add_set_reserved_peer with unknown protocol: casino/1    
2021-12-29 14:06:00.016  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:00.160 and block number 1 from block importer.    
2021-12-29 14:06:00.019  INFO tokio-runtime-worker substrate: ✨ Imported #1 (0x55e8…e26c)    
2021-12-29 14:06:03.978  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #1 (0x55e8…e26c), finalized #0 (0x9b46…da08), ⬇ 1.2kiB/s ⬆ 1.2kiB/s    
2021-12-29 14:06:06.001  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🙌 Starting consensus session on top of parent 0x55e8cee8b77fbceea2a41c98f61cf9bfa20ce9d859f38c3224793226b133e26c    
2021-12-29 14:06:06.003  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🎁 Prepared block for proposing at 2 (0 ms) [hash: 0xf1873563cb54e9c2c2ab751291e4de7213e7bea884dc2d4af44cde0942d136a9; parent_hash: 0x55e8…e26c; extrinsics (1): [0x4061…94c2]]    
2021-12-29 14:06:06.007  INFO tokio-runtime-worker aura: 🔖 Pre-sealed block for proposal at 2. Hash now 0x9327b0aa997b6a209fb847f7969930bdc16ffcb69d31f2d3d588da8c5ed4adc1, previously 0xf1873563cb54e9c2c2ab751291e4de7213e7bea884dc2d4af44cde0942d136a9.    
2021-12-29 14:06:06.008  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:06.166 and block number 2 from block importer.    
2021-12-29 14:06:06.008  INFO tokio-runtime-worker substrate: ✨ Imported #2 (0x9327…adc1)    
2021-12-29 14:06:08.979  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #2 (0x9327…adc1), finalized #0 (0x9b46…da08), ⬇ 0.6kiB/s ⬆ 0.7kiB/s    
2021-12-29 14:06:12.009  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:12.172 and block number 3 from block importer.    
2021-12-29 14:06:12.009  INFO tokio-runtime-worker substrate: ✨ Imported #3 (0x6828…017a)    
2021-12-29 14:06:13.979  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #3 (0x6828…017a), finalized #1 (0x55e8…e26c), ⬇ 0.8kiB/s ⬆ 0.7kiB/s    
2021-12-29 14:06:18.000  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🙌 Starting consensus session on top of parent 0x6828df65e0939b45c419feb522431bb7f88c31277c0b50acee2f952a2ec2017a    
2021-12-29 14:06:18.002  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🎁 Prepared block for proposing at 4 (0 ms) [hash: 0x563c0f803432ca3ed99b3e5d9ee0072d614c6b10c2ce1bc9eef8ab0468656011; parent_hash: 0x6828…017a; extrinsics (1): [0x0370…f17d]]    
2021-12-29 14:06:18.007  INFO tokio-runtime-worker aura: 🔖 Pre-sealed block for proposal at 4. Hash now 0xeded96db1720f404a05d8ab2f9b4fc7e48261cb68f82e454b4e3b2e68b046d96, previously 0x563c0f803432ca3ed99b3e5d9ee0072d614c6b10c2ce1bc9eef8ab0468656011.    
2021-12-29 14:06:18.007  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:18.178 and block number 4 from block importer.    
2021-12-29 14:06:18.007  INFO tokio-runtime-worker node_template::casino: 🎰 Timestamp of block 8th to arrive: 2021-12-29 13:06:41.201 UTC    
2021-12-29 14:06:18.007  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp via gossip engine 2021-12-29 13:06:41.201 UTC    
2021-12-29 14:06:18.008  INFO tokio-runtime-worker substrate: ✨ Imported #4 (0xeded…6d96)    
2021-12-29 14:06:18.387  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp via gossip engine 2021-12-29 13:06:41.201 UTC    
2021-12-29 14:06:18.388  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp via gossip engine 2021-12-29 13:06:41.201 UTC    
2021-12-29 14:06:18.980  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #4 (0xeded…6d96), finalized #1 (0x55e8…e26c), ⬇ 0.6kiB/s ⬆ 0.8kiB/s    
2021-12-29 14:06:23.980  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #4 (0xeded…6d96), finalized #2 (0x9327…adc1), ⬇ 0.6kiB/s ⬆ 0.7kiB/s    
2021-12-29 14:06:24.011  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:24.184 and block number 5 from block importer.    
2021-12-29 14:06:24.013  INFO tokio-runtime-worker substrate: ✨ Imported #5 (0x2b9b…95fb)    
2021-12-29 14:06:28.980  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #5 (0x2b9b…95fb), finalized #3 (0x6828…017a), ⬇ 0.8kiB/s ⬆ 0.6kiB/s    
2021-12-29 14:06:30.001  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🙌 Starting consensus session on top of parent 0x2b9b61d8a22230c6ca7f6adf071c0529fdc192c794b2ac764fb167afcb6195fb    
2021-12-29 14:06:30.002  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🎁 Prepared block for proposing at 6 (0 ms) [hash: 0x4980b8b4c59087948dc8b8d1d26f7c2046772e69eb966a9db894601007a192e8; parent_hash: 0x2b9b…95fb; extrinsics (1): [0x06bc…e9ad]]    
2021-12-29 14:06:30.005  INFO tokio-runtime-worker aura: 🔖 Pre-sealed block for proposal at 6. Hash now 0xe767ea2eeb989c19413642a3794199085ffcd0564a4775240e78e53be50eaf52, previously 0x4980b8b4c59087948dc8b8d1d26f7c2046772e69eb966a9db894601007a192e8.    
2021-12-29 14:06:30.005  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:30.190 and block number 6 from block importer.    
2021-12-29 14:06:30.005  INFO tokio-runtime-worker substrate: ✨ Imported #6 (0xe767…af52)    
2021-12-29 14:06:33.981  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #6 (0xe767…af52), finalized #4 (0xeded…6d96), ⬇ 0.8kiB/s ⬆ 0.8kiB/s    
2021-12-29 14:06:36.011  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:36.196 and block number 7 from block importer.    
2021-12-29 14:06:36.012  INFO tokio-runtime-worker substrate: ✨ Imported #7 (0xd66b…f2cc)    
2021-12-29 14:06:38.981  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #7 (0xd66b…f2cc), finalized #5 (0x2b9b…95fb), ⬇ 0.7kiB/s ⬆ 0.6kiB/s    
2021-12-29 14:06:42.000  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🙌 Starting consensus session on top of parent 0xd66bf1b38947257666cf7f0d2a4353737a4b5428121c6b5aa3e9d43863ddf2cc    
2021-12-29 14:06:42.001  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🎁 Prepared block for proposing at 8 (0 ms) [hash: 0x65f5644ce550cd3b33e6666699e1f95c5537a3b467521b62cc3a35135ffbf328; parent_hash: 0xd66b…f2cc; extrinsics (1): [0xfcc6…dcfa]]    
2021-12-29 14:06:42.003  INFO tokio-runtime-worker aura: 🔖 Pre-sealed block for proposal at 8. Hash now 0xf719d6bb26883d9eef7b2dab0191b983e3281c350ed67f337ac0a0077782be53, previously 0x65f5644ce550cd3b33e6666699e1f95c5537a3b467521b62cc3a35135ffbf328.    
2021-12-29 14:06:42.003  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:42.202 and block number 8 from block importer.    
2021-12-29 14:06:42.003  INFO tokio-runtime-worker substrate: ✨ Imported #8 (0xf719…be53)    
2021-12-29 14:06:43.981  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #8 (0xf719…be53), finalized #6 (0xe767…af52), ⬇ 0.7kiB/s ⬆ 0.8kiB/s    
2021-12-29 14:06:48.011  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:48.208 and block number 9 from block importer.    
2021-12-29 14:06:48.012  INFO tokio-runtime-worker substrate: ✨ Imported #9 (0xee4d…2426)    
2021-12-29 14:06:48.982  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #9 (0xee4d…2426), finalized #6 (0xe767…af52), ⬇ 0.7kiB/s ⬆ 0.6kiB/s    
2021-12-29 14:06:53.982  INFO tokio-runtime-worker substrate: 💤 Idle (1 peers), best: #9 (0xee4d…2426), finalized #7 (0xd66b…f2cc), ⬇ 0.7kiB/s ⬆ 0.6kiB/s    
2021-12-29 14:06:54.001  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🙌 Starting consensus session on top of parent 0xee4d29155252d6c86ce6054e438f83b505730dc393cfdb8259fdf521ff432426    
2021-12-29 14:06:54.001  INFO tokio-runtime-worker sc_basic_authorship::basic_authorship: 🎁 Prepared block for proposing at 10 (0 ms) [hash: 0xb7c3ab3cd4531c0fdfd71e73628f50e5910b130f8c5dbf1e4c50ebb2381789ee; parent_hash: 0xee4d…2426; extrinsics (1): [0x31b1…5bd6]]    
2021-12-29 14:06:54.004  INFO tokio-runtime-worker aura: 🔖 Pre-sealed block for proposal at 10. Hash now 0x7e649a4f8ce144f93a850751ee91e5420422c7102ee19490806222096dc27e55, previously 0xb7c3ab3cd4531c0fdfd71e73628f50e5910b130f8c5dbf1e4c50ebb2381789ee.    
2021-12-29 14:06:54.004  INFO tokio-runtime-worker node_template::casino: 🎰 Received timestamp 2021-12-29 13:06:54.214 and block number 10 from block importer.    
2021-12-29 14:06:54.004  INFO tokio-runtime-worker substrate: ✨ Imported #10 (0x7e64…7e55)    

